text,label
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
What time does the store open?,0
She is reading a book.,0
The train arrives at 5 PM.,0
I have a meeting in the afternoon.,0
He enjoys playing football.,0
The cat is sleeping on the couch.,0
Water boils at 100 degrees Celsius.,0
I like to listen to music.,0
The weather is nice today.,0
I need to buy some groceries.,0
